code,product_name,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,categories_en
50548407069,"Caramel popcorn dunked in fudge, sprinkled with sea salt",433.0,1812.0,20.0,11.67,0.0,0.017,66.67,46.67,3.3,3.33,1.3325,0.533,0.067,0.0012,27.0,Snacks
41271021455,Gourmet coffee creamer,233.0,975.0,10.0,6.67,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,"Plant-based foods and beverages,Dairy substitutes,Milk substitutes,Creamer"
70640008148,Frozen Confection Pop,85.11,356.0,0.0,0.0,0.0,0.0,21.28,14.89,0.0,0.0,0.027,0.0108,0.0,0.0,4.0,"Desserts,Frozen foods,Frozen desserts"
0046704098448,"Chicken wings, buffalo style",190.0,795.0,13.1,3.57,0.0,0.048,3.57,0.0,0.0,11.9,1.22,0.488,0.024,0.00086,5.0,Frozen foods
855387006332,"Peanut cashew super butter with honey, chia & flax!",594.0,2485.0,46.88,6.25,0.0,0.0,28.12,9.38,6.2,21.88,0.585,0.234,0.062,0.00338,5.0,"Plant-based foods and beverages,Plant-based foods,Fats,Vegetable fats"
38259100851,"Pepper jack, monterey jack cheese with jalapeno peppers",316.0,1322.0,26.32,18.42,0.0,0.079,0.0,0.0,0.0,21.05,1.25,0.5,0.789,0.0,13.0,"Dairies,Fermented foods,Fermented milk products,Cheeses"
79783517364,Austin Crackers Pepper Jack 1.38Oz,489.0,2046.0,23.9,5.9,0.4,0.004,61.1,13.9,1.3,8.1,1.0,0.4,0.149,0.0031,17.0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits"
0046567500720,Chicken sausage,147.0,615.0,2.94,0.74,0.0,0.066,11.76,10.29,0.0,19.12,1.2125,0.485,0.029,0.00106,3.0,"Meats and their products,Meats,Prepared meats,Sausages"
0041625325444,Signature gourmet stuffed clams,176.0,736.0,8.45,0.7,0.0,0.007,16.2,0.7,2.1,9.15,1.6725,0.669,0.07,0.00507,2.0,Seafood
894700010069,Non-Fat Greek Yogurt,73.333333333333,307.0,0.0,0.0,0.0,0.003,10.0,9.3333333333333,0.66666666666667,7.3333333333333,0.083333333333333,0.0333333333333332,0.1,0.0,-2.0,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Greek-style yogurts"
799210375045,Organic apple nectar,54.0,226.0,0.0,0.0,0.0,0.0,13.33,11.67,0.8,0.0,0.0,0.0,0.0,0.0,16.0,"Plant-based foods and beverages,Beverages,Plant-based beverages"
8504300020376,"Mo's carolina, barbecue sauce",67.0,280.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,2.0825,0.833,0.0,0.0,11.0,"Condiments,Sauces,Barbecue sauces,Groceries"
98487300102,Wavy Potato Chips,536.0,2243.0,32.14,3.57,0.0,0.0,60.71,3.57,3.6,7.14,1.16,0.464,0.0,0.00257,11.0,Snacks
0605388186744,Refried Beans,81.0,339.0,0.0,0.0,0.0,0.0,15.32,0.81,4.8,5.65,0.9675,0.387,0.032,0.00116,-8.0,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Canned foods,Legumes,Canned plant-based foods,Meals,Prepared vegetables,Canned legumes,Canned common beans,Refried beans"
